"bin_midpoints" "counts"
"1" 14.6020780004185 5
"2" 14.6058098068556 9
"3" 14.6095416132927 10
"4" 14.6132734197297 6
"5" 14.6170052261668 5
"6" 14.6207370326039 12
"7" 14.6244688390409 7
"8" 14.628200645478 4
"9" 14.6319324519151 6
"10" 14.6356642583521 5
"11" 14.6393960647892 8
"12" 14.6431278712263 9
"13" 14.6468596776633 6
"14" 14.6505914841004 13
"15" 14.6543232905375 9
"16" 14.6580550969745 7
"17" 14.6617869034116 9
"18" 14.6655187098487 5
"19" 14.6692505162857 9
"20" 14.6729823227228 4
"21" 14.6767141291599 11
"22" 14.6804459355969 13
"23" 14.684177742034 8
"24" 14.6879095484711 8
"25" 14.6916413549081 11
"26" 14.6953731613452 11
"27" 14.6991049677823 9
"28" 14.7028367742193 7
"29" 14.7065685806564 13
"30" 14.7103003870935 11
"31" 14.7140321935305 15
"32" 14.7177639999676 11
"33" 14.7214958064047 14
"34" 14.7252276128417 8
"35" 14.7289594192788 7
"36" 14.7326912257159 11
"37" 14.7364230321529 5
"38" 14.74015483859 6
"39" 14.7438866450271 11
"40" 14.7476184514641 3
"41" 14.7513502579012 9
"42" 14.7550820643383 6
"43" 14.7588138707753 14
"44" 14.7625456772124 10
"45" 14.7662774836495 4
"46" 14.7700092900865 3
"47" 14.7737410965236 8
"48" 14.7774729029607 5
"49" 14.7812047093977 7
"50" 14.7849365158348 2
"51" 14.7886683222719 9
"52" 14.7924001287089 5
"53" 14.796131935146 13
"54" 14.7998637415831 7
"55" 14.8035955480201 6
"56" 14.8073273544572 6
"57" 14.8110591608943 5
"58" 14.8147909673313 5
"59" 14.8185227737684 5
"60" 14.8222545802055 8
"61" 14.8259863866425 7
"62" 14.8297181930796 6
"63" 14.8334499995167 5
"64" 14.8371818059537 10
"65" 14.8409136123908 10
"66" 14.8446454188279 10
"67" 14.8483772252649 9
"68" 14.852109031702 10
"69" 14.8558408381391 12
"70" 14.8595726445761 4
"71" 14.8633044510132 11
"72" 14.8670362574503 5
"73" 14.8707680638873 10
"74" 14.8744998703244 6
"75" 14.8782316767615 2
"76" 14.8819634831985 5
"77" 14.8856952896356 11
"78" 14.8894270960727 10
"79" 14.8931589025097 9
"80" 14.8968907089468 6
"81" 14.9006225153839 4
"82" 14.9043543218209 7
"83" 14.908086128258 5
"84" 14.9118179346951 7
"85" 14.9155497411321 5
"86" 14.9192815475692 5
"87" 14.9230133540063 8
"88" 14.9267451604433 7
"89" 14.9304769668804 8
"90" 14.9342087733175 9
"91" 14.9379405797545 11
"92" 14.9416723861916 7
"93" 14.9454041926287 10
"94" 14.9491359990657 7
"95" 14.9528678055028 8
"96" 14.9565996119399 5
"97" 14.9603314183769 9
"98" 14.964063224814 6
"99" 14.9677950312511 10
"100" 14.9715268376881 8
"101" 14.9752586441252 5
"102" 14.9789904505623 6
"103" 14.9827222569993 10
"104" 14.9864540634364 8
"105" 14.9901858698735 10
"106" 14.9939176763105 8
"107" 14.9976494827476 5
"108" 15.0013812891847 6
"109" 15.0051130956217 7
"110" 15.0088449020588 6
"111" 15.0125767084959 7
"112" 15.0163085149329 10
"113" 15.02004032137 3
"114" 15.0237721278071 4
"115" 15.0275039342441 10
"116" 15.0312357406812 2
"117" 15.0349675471183 12
"118" 15.0386993535553 10
"119" 15.0424311599924 6
"120" 15.0461629664295 6
"121" 15.0498947728665 6
"122" 15.0536265793036 3
"123" 15.0573583857407 3
"124" 15.0610901921777 6
"125" 15.0648219986148 8
"126" 15.0685538050519 6
"127" 15.0722856114889 6
"128" 15.076017417926 10
"129" 15.0797492243631 6
"130" 15.0834810308001 7
"131" 15.0872128372372 5
"132" 15.0909446436743 8
"133" 15.0946764501113 8
"134" 15.0984082565484 6
"135" 15.1021400629855 9
"136" 15.1058718694225 6
"137" 15.1096036758596 12
"138" 15.1133354822967 10
"139" 15.1170672887337 8
"140" 15.1207990951708 6
"141" 15.1245309016079 7
"142" 15.1282627080449 6
"143" 15.131994514482 5
"144" 15.1357263209191 5
"145" 15.1394581273561 9
"146" 15.1431899337932 8
"147" 15.1469217402303 10
"148" 15.1506535466673 7
"149" 15.1543853531044 6
"150" 15.1581171595415 6
"151" 15.1618489659785 14
"152" 15.1655807724156 7
"153" 15.1693125788527 6
"154" 15.1730443852897 5
"155" 15.1767761917268 5
"156" 15.1805079981639 12
"157" 15.1842398046009 3
"158" 15.187971611038 7
"159" 15.1917034174751 4
"160" 15.1954352239121 2
"161" 15.1991670303492 6
"162" 15.2028988367863 11
"163" 15.2066306432233 8
"164" 15.2103624496604 4
"165" 15.2140942560975 8
